id,name,desc
x-mitre-data-component--85a533a4-5fa4-4dba-b45d-f0717bedd6e6,Host Status,"Logging, messaging, and other artifacts highlighting the health of host sensors (ex: metrics, errors, and/or exceptions from logging applications)"
x-mitre-data-component--9c2fa0ae-7abc-485a-97f6-699e3b6cf9fa,Application Log Content,"Logging, messaging, and other artifacts provided by third-party services (ex: metrics, errors, and/or alerts from mail/web applications)"
x-mitre-data-component--3772e279-27d6-477a-9fe3-c6beb363594c,Network Traffic Content,Logged network traffic data showing both protocol header and body values (ex: PCAP)
x-mitre-data-component--a7f22107-02e5-4982-9067-6625d4a1765a,Network Traffic Flow,"Summarized network packet data, with metrics, such as protocol headers and volume (ex: Netflow or Zeek http.log)"
x-mitre-data-component--f42df6f0-6395-4f0c-9376-525a031f00c3,Scheduled Job Creation,Initial construction of a new scheduled job (ex: Windows EID 4698 or /var/log cron logs)
x-mitre-data-component--685f917a-e95e-4ba0-ade1-c7d354dae6e0,Command Execution,"Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
x-mitre-data-component--3d20385b-24ef-40e1-9f56-f39750379077,Process Creation,Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)
x-mitre-data-component--84572de3-9583-4c73-aabd-06ea88123dd8,File Modification,"Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
x-mitre-data-component--235b7491-2d2b-4617-9a52-3c0783680f71,File Access,"Opening a file, which makes the file contents available to the requestor (ex: Windows EID 4663)"
x-mitre-data-component--a953ca55-921a-44f7-9b8d-3d40141aa17e,User Account Authentication,"An attempt by a user to gain access to a network or computing resource, often by providing credentials (ex: Windows EID 4625 or /var/log/auth.log)"
x-mitre-data-component--b008766d-f34f-4ded-b712-659f59aaed6e,Image Creation,Initial construction of a virtual machine image (ex: Azure Compute Service Images PUT)
x-mitre-data-component--181a9f8c-c780-4f1f-91a8-edb770e904ba,Network Connection Creation,"Initial construction of a network connection, such as capturing socket information with a source/destination IP and port(s) (ex: Windows EID 5156, Sysmon EID 3, or Zeek conn.log)"
x-mitre-data-component--e905dad2-00d6-477c-97e8-800427abd0e8,File Deletion,Removal of a file (ex: Sysmon EID 23)
x-mitre-data-component--9bde2f9d-a695-4344-bfac-f2dce13d121e,OS API Execution,Operating system function/method calls executed by a process
x-mitre-data-component--39b9db72-8b48-4595-a18d-db5bbba3091b,Logon Session Metadata,"Contextual data about a logon session, such as username, logon type, access tokens (security context, user SIDs, logon identifiers, and logon SID), and any activity associated within it"
x-mitre-data-component--9ce98c86-8d30-4043-ba54-0784d478d0b5,Logon Session Creation,"Initial construction of a new user logon session (ex: Windows EID 4624, /var/log/utmp, or /var/log/wmtp)"
x-mitre-data-component--8e44412e-3238-4d64-8878-4f11e27784fe,Group Enumeration,An extracted list of available groups and/or their associated settings (ex: AWS list-groups)
x-mitre-data-component--8d8c7cac-94cf-4726-8989-cab33851168c,Group Metadata,"Contextual data about a group which describes group and activity around it, such as name, permissions, or user accounts within the group"
x-mitre-data-component--a5ae90ca-0c4b-481c-959f-0eb18a7ff953,Container Creation,Initial construction of a new container (ex: docker create <container_name>)
x-mitre-data-component--2b3bfe19-d59a-460d-93bb-2f546adc2d2c,File Creation,Initial construction of a new file (ex: Sysmon EID 11)
x-mitre-data-component--fafaa705-ec08-4405-ac62-288c252e520d,Cluster Metadata,"Contextual data about a cluster and activity around it such as name, namespace, age, or status"
x-mitre-data-component--91b3ed33-d1b5-4c4b-a896-76c55eb3cfd8,Container Enumeration,An extracted list of containers (ex: docker ps)
x-mitre-data-component--df508a43-65f5-453f-8b8f-4b5d64e60a21,Container Metadata,"Contextual data about a container and activity around it such as name, ID, image, or status"
x-mitre-data-component--07688e40-a7fa-4436-937f-1216674341a0,Pod Enumeration,An extracted list of pods within a cluster (ex: kubectl get pods)
x-mitre-data-component--c0edd522-0aef-46b3-8efa-2bd334ce4242,Pod Metadata,"Contextual data about a pod and activity around it such as name, ID, namespace, or status"
x-mitre-data-component--ed0dd8aa-1677-4551-bb7d-8da767617e1b,Windows Registry Key Access,"Opening a Registry Key, typically to read the associated value (ex: Windows EID 4656)"
x-mitre-data-component--5fe82895-28e5-4aac-845e-dc886b63be2e,Container Start,Activation or invocation of a container (ex: docker start or docker restart)
x-mitre-data-component--5263cb33-08cc-4a68-820f-004e1e400d76,Pod Creation,Initial construction of a new pod (ex: kubectl apply|run)
x-mitre-data-component--672b2ebd-4310-4efe-bf03-7ab005298a74,Pod Modification,"Changes made to a pod, including its settings and/or control data (ex: kubectl set|patch|edit)"
x-mitre-data-component--e52d89f9-1710-4708-88a5-cbef77c4cd5e,Cloud Service Modification,"Changes made to a cloud service, including its settings and/or data (ex: AWS CloudTrail DeleteTrail or DeleteConfigRule)"
x-mitre-data-component--ec0612c5-2644-4c50-bcac-82586974fedd,Cloud Service Disable,Deactivation or stoppage of a cloud service (ex: AWS Cloudtrail StopLogging)
x-mitre-data-component--9f387817-df83-432a-b56b-a8fb7f71eedd,Script Execution,Launching a list of commands through a script file (ex: Windows EID 4104)
